NAME,LATITUDE,LONGITUDE,NAICS_DESC,OPER_CAP,SUMMER_CAP,WINTER_CAP,GEN_UNITS,LINES
CHRISTIANA,39.73061128,-75.53703583,FOSSIL FUEL ELECTRIC POWER GENERATION,52,50,50,2,1
DELAWARE CITY 10,39.60041,-75.62681,FOSSIL FUEL ELECTRIC POWER GENERATION,18.5,18,18,1,0
EDGE MOOR,39.7383848,-75.50366174,FOSSIL FUEL ELECTRIC POWER GENERATION,710.3,725,725,4,1
INDIAN RIVER GENERATING STATION,38.58511476,-75.23486652,FOSSIL FUEL ELECTRIC POWER GENERATION,464.1,426.1,426.1,2,1
WEST STATION (DE),39.72879812,-75.62728972,FOSSIL FUEL ELECTRIC POWER GENERATION,20,15,19,1,0
MCKEE RUN,39.17463542,-75.54491871,FOSSIL FUEL ELECTRIC POWER GENERATION,113.6,103.1,104.1,1,0
SEAFORD,38.64082486,-75.60998027,NOT AVAILABLE,0,0,0,0,0
BRANDON SHORES,39.18118835,-76.53727189,FOSSIL FUEL ELECTRIC POWER GENERATION,1370.2,1273,1273,2,1
BENNING,38.8994,-76.9592,NOT AVAILABLE,0,0,0,0,0
BUZZARD POINT,38.8678,-77.0117,NOT AVAILABLE,0,0,0,0,0
CAPE CANAVERAL,28.4698,-80.7644,FOSSIL FUEL ELECTRIC POWER GENERATION,1295,1290,1393,4,1
CUTLER,25.6321,-80.2989,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,1
FORT MYERS,26.69844699,-81.78273419,FOSSIL FUEL ELECTRIC POWER GENERATION,2680.9,2735.5,2756,14,1
LAUDERDALE,26.0686,-80.1984,FOSSIL FUEL ELECTRIC POWER GENERATION,1215.9,1223.6,1184.4,7,1
PORT EVERGLADES,26.08530114,-80.12584191,FOSSIL FUEL ELECTRIC POWER GENERATION,1352,1237,1338,4,1
RIVIERA,26.76503261,-80.0523051,FOSSIL FUEL ELECTRIC POWER GENERATION,1295,1290,1393,4,1
SANFORD,28.84315536,-81.32546351,FOSSIL FUEL ELECTRIC POWER GENERATION,2377.8,2352,2376,10,1
TURKEY POINT,25.43595416,-80.33149521,NUCLEAR ELECTRIC POWER GENERATION,2861.2,2952.1,3035,7,1
AVON PARK,27.57949494,-81.49304599,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,1
HAMMOND,34.2528,-85.3456,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,1
UPPER MECHANICVILLE,42.91259304,-73.6805,HYDROELECTRIC POWER GENERATION,16.4,18.4,18.4,2,0
BAYBORO,27.75815608,-82.6351537,FOSSIL FUEL ELECTRIC POWER GENERATION,226.8,171,226,4,1
CRYSTAL RIVER,28.96715141,-82.69864227,FOSSIL FUEL ELECTRIC POWER GENERATION,3449,3020,3314,8,1
G E TURNER,28.86960596,-81.27388096,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,1
HIGGINS,28.00326,-82.66151,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,1
P L BARTOW,27.85956982,-82.60183143,FOSSIL FUEL ELECTRIC POWER GENERATION,1475.6,1280,1468,9,1
RIO PINAR,28.54181914,-81.25380723,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,1
SUWANNEE RIVER,30.37656698,-83.18055674,FOSSIL FUEL ELECTRIC POWER GENERATION,197.7,145,194,3,1
CRIST,30.56494882,-87.22467333,FOSSIL FUEL ELECTRIC POWER GENERATION,1135.1,924,924,4,1
SCHOLZ,30.66932484,-84.88695644,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,1
LANSING SMITH,30.26874164,-85.70010748,FOSSIL FUEL ELECTRIC POWER GENERATION,661.5,543,620,4,1
BIG BEND,27.79572882,-82.40336707,FOSSIL FUEL ELECTRIC POWER GENERATION,1904.3,1677.8,1712.8,6,1
F J GANNON,27.90730808,-82.42229964,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,0
HOOKERS POINT,27.93592654,-82.44324641,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,0
VOGTLE,33.1427,-81.7625,NUCLEAR ELECTRIC POWER GENERATION,2430,2302,2302,2,1
KENSICO,41.08515016,-73.77476197,HYDROELECTRIC POWER GENERATION,0,0,0,0,0
HENRY D KING,27.45041998,-80.32417488,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,0
DEERHAVEN GENERATING STATION,29.75818635,-82.38786068,FOSSIL FUEL ELECTRIC POWER GENERATION,471,417,428,5,1
JOHN R KELLY,29.64668045,-82.32172457,FOSSIL FUEL ELECTRIC POWER GENERATION,146.1,108,118,2,1
G W IVEY,25.47536002,-80.4699557,FOSSIL FUEL ELECTRIC POWER GENERATION,35.7,32.7,32.7,11,1
J D KENNEDY,30.3648815,-81.62564928,FOSSIL FUEL ELECTRIC POWER GENERATION,370,357.2,382.4,2,1
NORTHSIDE GENERATING STATION,30.41704423,-81.55247148,FOSSIL FUEL ELECTRIC POWER GENERATION,1407.1,1322,1356.4,7,1
SOUTHSIDE GENERATING STATION,30.31639,-81.64889,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,0
PUUEO,19.7264,-155.0908,HYDROELECTRIC POWER GENERATION,3.1,3.1,3.1,2,1
HANSEL,28.28944,-81.40791,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,0
TOM G SMITH,26.61333141,-80.0674558,FOSSIL FUEL ELECTRIC POWER GENERATION,98.7,93.5,100.5,9,1
LARSEN MEMORIAL,28.04919814,-81.92285263,FOSSIL FUEL ELECTRIC POWER GENERATION,133.6,127,152,4,1
C D MCINTOSH JR,28.08013146,-81.92283761,FOSSIL FUEL ELECTRIC POWER GENERATION,894.4,849,876,7,1
W K SANDERS,44.62522079,-72.53141558,HYDROELECTRIC POWER GENERATION,1.8,1.4,1.8,2,1
SMITH STREET,29.01870728,-80.92151057,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,0
W E SWOOPE,29.06463836,-80.9389902,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,1
INDIAN RIVER PLANT,28.49303939,-80.77998707,FOSSIL FUEL ELECTRIC POWER GENERATION,342.8,290,350,4,1
ST CLOUD,28.24916704,-81.2894215,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,1
ARVAH B HOPKINS,30.45242605,-84.39935755,FOSSIL FUEL ELECTRIC POWER GENERATION,673.1,484.5,518.5,9,1
S O PURDOM,30.16204107,-84.20065099,FOSSIL FUEL ELECTRIC POWER GENERATION,270.1,226,258,2,1
J WOODRUFF,30.70902225,-84.86225908,HYDROELECTRIC POWER GENERATION,43.5,43.5,43.5,3,1
VERO BEACH MUNICIPAL POWER PLANT,27.63335157,-80.37776035,NOT AVAILABLE,0,117,0,4,1
MARATHON GENERATING PLANT,24.7106288,-81.09262387,FOSSIL FUEL ELECTRIC POWER GENERATION,11,11,11,4,1
TRENTON NORTH,40.09612211,-93.60774408,FOSSIL FUEL ELECTRIC POWER GENERATION,13.5,13.5,13.5,5,1
ARKWRIGHT,32.92716843,-83.69894507,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,0
ATKINSON,33.82147846,-84.47857631,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,0
BARNETT SHOALS,33.83946284,-83.30979766,HYDROELECTRIC POWER GENERATION,0,0,0,0,1
BARTLETTS FERRY,32.661976,-85.09165458,HYDROELECTRIC POWER GENERATION,173,189.1,190.5,6,1
BOWEN,34.1256,-84.9222,FOSSIL FUEL ELECTRIC POWER GENERATION,3498.6,3232,3232,4,1
BURTON DAM,34.793622,-83.540695,HYDROELECTRIC POWER GENERATION,6,9.6,8.8,2,1
FLINT RIVER,31.60292492,-84.13754646,HYDROELECTRIC POWER GENERATION,5.4,6.3,6,3,1
GOAT ROCK,32.60952487,-85.08053565,HYDROELECTRIC POWER GENERATION,38.6,38.6,39.4,6,1
HARLLEE BRANCH,33.195,-83.2983,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,1
JACK MCDONOUGH,33.82379338,-84.47573583,FOSSIL FUEL ELECTRIC POWER GENERATION,2848.4,2535,2791,11,1
LANGDALE,32.81384,-85.16779,HYDROELECTRIC POWER GENERATION,0,0,0,0,0
LLOYD SHOALS,33.32077,-83.84192,HYDROELECTRIC POWER GENERATION,14.4,22.8,22.8,6,1
MCMANUS,31.2132349,-81.54613812,FOSSIL FUEL ELECTRIC POWER GENERATION,560,416,515,10,1
MORGAN FALLS,33.96834646,-84.38274759,HYDROELECTRIC POWER GENERATION,16.8,10.5,11.2,7,1
NACOOCHEE,34.75527595,-83.50114138,HYDROELECTRIC POWER GENERATION,4.8,6,6,2,1
NORTH HIGHLANDS,32.49870672,-84.99549482,HYDROELECTRIC POWER GENERATION,29.6,34.4,34.7,4,1
OLIVER DAM,32.5163,-84.9969,HYDROELECTRIC POWER GENERATION,60,59,58.3,4,1
